completed_agent_decisions,nominal_training_emulator_frames,completed_games,mean_episode_return,median_episode_return,min_episode_return,max_episode_return,reference_score,difference_from_reference,eval_wall_seconds
250000,1000000,274,2.1751824817518246,0.0,0.0,9.0,316.8,-314.62481751824816,157.28095837682486
500000,2000000,873,0.9335624284077892,0.0,0.0,12.0,316.8,-315.8664375715922,164.37860091030598
750000,3000000,297,2.2693602693602695,0.0,0.0,12.0,316.8,-314.53063973063973,157.3298372477293
1000000,4000000,647,2.1576506955177743,2.0,0.0,9.0,316.8,-314.64234930448225,159.5090942569077
1250000,5000000,231,4.688311688311688,4.0,0.0,14.0,316.8,-312.11168831168834,155.10494834184647
1500000,6000000,175,13.554285714285715,13.0,4.0,35.0,316.8,-303.2457142857143,155.73078760504723
1750000,7000000,225,14.933333333333334,14.0,5.0,31.0,316.8,-301.8666666666667,155.8898290619254
2000000,8000000,149,22.838926174496645,22.0,8.0,56.0,316.8,-293.9610738255034,155.10621846467257
2250000,9000000,168,27.910714285714285,25.0,4.0,234.0,316.8,-288.88928571428573,154.8082996159792
2500000,10000000,112,40.089285714285715,37.5,12.0,279.0,316.8,-276.7107142857143,153.5739153586328
2750000,11000000,98,60.10204081632653,58.0,21.0,218.0,316.8,-256.6979591836735,154.56817693263292
3000000,12000000,95,69.10526315789474,60.0,21.0,282.0,316.8,-247.69473684210527,156.0201517045498
3250000,13000000,92,93.03260869565217,83.5,22.0,260.0,316.8,-223.76739130434783,155.9410543255508
3500000,14000000,82,116.23170731707317,101.0,35.0,330.0,316.8,-200.56829268292682,154.7477515488863
3750000,15000000,81,126.09876543209876,117.0,43.0,351.0,316.8,-190.70123456790125,156.247068464756
4000000,16000000,80,152.85,141.0,31.0,353.0,316.8,-163.95000000000002,154.25579220056534
4250000,17000000,76,208.67105263157896,213.0,60.0,389.0,316.8,-108.12894736842105,155.26482955738902
4500000,18000000,83,173.19277108433735,164.0,38.0,341.0,316.8,-143.60722891566266,154.37719179689884
4750000,19000000,75,202.76,200.0,58.0,332.0,316.8,-114.04000000000002,155.23093933612108
5000000,20000000,78,186.62820512820514,177.5,42.0,381.0,316.8,-130.17179487179487,155.8465612605214
5250000,21000000,86,178.5581395348837,187.5,15.0,354.0,316.8,-138.2418604651163,156.93103034049273
5500000,22000000,81,142.76543209876544,143.0,6.0,353.0,316.8,-174.03456790123457,154.45583571493626
5750000,23000000,75,233.02666666666667,239.0,28.0,353.0,316.8,-83.77333333333334,156.5158275514841
6000000,24000000,79,239.58227848101265,246.0,52.0,417.0,316.8,-77.21772151898736,155.42579166963696
6250000,25000000,75,260.24,264.0,111.0,383.0,316.8,-56.56,154.5076210051775
6500000,26000000,71,295.88732394366195,311.0,92.0,415.0,316.8,-20.912676056338057,155.5424021370709
6750000,27000000,80,214.8625,225.0,44.0,408.0,316.8,-101.9375,155.77082639932632
7000000,28000000,69,289.17391304347825,325.0,54.0,408.0,316.8,-27.62608695652176,155.92219324037433
7250000,29000000,74,257.5,270.5,44.0,423.0,316.8,-59.30000000000001,153.28822546079755
7500000,30000000,65,322.6,345.0,67.0,422.0,316.8,5.800000000000011,154.40318020060658
7750000,31000000,88,187.3409090909091,186.5,16.0,416.0,316.8,-129.45909090909092,156.075126234442
8000000,32000000,83,175.81927710843374,133.0,14.0,414.0,316.8,-140.98072289156627,154.65210604295135
8250000,33000000,66,321.8484848484849,362.5,36.0,484.0,316.8,5.048484848484861,154.6893268302083
8500000,34000000,87,178.09195402298852,107.0,17.0,421.0,316.8,-138.7080459770115,154.54643762856722
8750000,35000000,70,300.5571428571429,344.0,38.0,428.0,316.8,-16.242857142857133,155.2284022308886
9000000,36000000,67,327.55223880597015,365.0,2.0,431.0,316.8,10.752238805970137,153.62187848612666
9250000,37000000,98,141.0,67.0,2.0,403.0,316.8,-175.8,154.9563290476799
9500000,38000000,65,342.53846153846155,375.0,95.0,502.0,316.8,25.738461538461536,156.45624598115683
9750000,39000000,68,296.3235294117647,333.5,23.0,471.0,316.8,-20.476470588235316,156.13984679430723
10000000,40000000,60,350.18333333333334,373.5,119.0,445.0,316.8,33.383333333333326,156.0187555961311
